CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTFIRSTNAME,CONTACTLASTNAME
FunGiftIdeas.com,+33 1 46 62 7555,1785 First Street,,NYC,MA,44000,UK,EMEA,Kyung,Benitez
La Rochelle Gifts,2155551555,"67, rue des Cinquante Otages",Suite 101,Lille,CA,59000,France,,Martine,Labrune
"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,PA,WX1 6LT,UK,,Elizabeth,Devon
Daedalus Designs Imports,+33 1 46 62 7555,"184, chausse de Tournai",,NYC,NY,10022,USA,EMEA,Michael,Rance
Mini Wheels Co.,+33 1 46 62 7554,5557 North Pendale Street,,Paris,PA,75508,USA,,Daniel,Murphy
FunGiftIdeas.com,5085552555,1785 First Street,,Liverpool,CA,WX1 6LT,UK,EMEA,Elizabeth,Benitez
Reims Collectables,6505551386,59 rue de l'Abbaye,,San Francisco,CA,,USA,EMEA,Julie,Da Cunha
Vitachrome Inc.,+33 1 46 62 7555,2678 Kingston Rd.,,Paris,CA,75508,France,,Daniel,Frick
Daedalus Designs Imports,2155551555,"184, chausse de Tournai",,San Francisco,CA,,USA,,Paul,Rance
Diecast Classics Inc.,5085552555,7586 Pompton St.,,Liverpool,CA,WX1 6LT,UK,EMEA,Elizabeth,Yu
Daedalus Designs Imports,2155551555,"184, chausse de Tournai",Suite 101,Paris,CA,59000,USA,EMEA,Martine,Rance
Diecast Classics Inc.,6505555787,7586 Pompton St.,,Allentown,CA,10022,USA,,Michael,Yu
Mini Wheels Co.,+33 1 46 62 7554,5557 North Pendale Street,,NYC,NY,10022,USA,EMEA,Michael,Murphy
Diecast Classics Inc.,6505551386,7586 Pompton St.,,Reims,MA,51100,USA,,Paul,Yu
Daedalus Designs Imports,+33 1 46 62 7554,"184, chausse de Tournai",,Lille,CA,75508,USA,,Daniel,Rance
FunGiftIdeas.com,5085552555,Berkeley Gardens 12  Brewery,,New Bedford,MA,50553,France,,Violeta,Devon
Reims Collectables,6505551386,59 rue de l'Abbaye,,San Francisco,CA,,USA,,Julie,Henriot
Vitachrome Inc.,6505551386,2678 Kingston Rd.,,San Francisco,NY,,USA,,Julie,Murphy
Mini Wheels Co.,2125551500,5557 North Pendale Street,,New Bedford,CA,50553,France,EMEA,Violeta,Murphy
Diecast Classics Inc.,6505551386,7586 Pompton St.,,San Francisco,PA,,USA,,Julie,Frick
Reims Collectables,6505551386,59 rue de l'Abbaye,,San Francisco,CA,,USA,,Paul,Da Cunha
La Rochelle Gifts,+33 1 46 62 7554,"67, rue des Cinquante Otages",Suite 101,NYC,CA,10022,UK,EMEA,Michael,Benitez
Corporate Gift Ideas Co.,2155551555,7734 Strong St.,,San Francisco,CA,51100,USA,,Paul,Brown
FunGiftIdeas.com,+33 1 46 62 7555,1785 First Street,,Nantes,NY,44000,France,EMEA,Janine,Benitez
FunGiftIdeas.com,2125551500,1785 First Street,,New Bedford,CA,50553,France,,Violeta,Benitez
Diecast Classics Inc.,2125551500,"67, rue des Cinquante Otages",,Liverpool,CA,WX1 6LT,UK,EMEA,Elizabeth,Labrune
La Rochelle Gifts,+33 1 46 62 7554,"67, rue des Cinquante Otages",,Paris,NY,75508,USA,,Daniel,Yu
FunGiftIdeas.com,2155551555,1785 First Street,Suite 101,San Francisco,MA,,USA,,Paul,Benitez
La Rochelle Gifts,5085552555,"67, rue des Cinquante Otages",Suite 101,New Bedford,CA,50553,France,EMEA,Violeta,Labrune
Corporate Gift Ideas Co.,+33 1 46 62 7554,7734 Strong St.,,Lille,CA,59000,USA,,Martine,Brown
"UK Collectables, Ltd.",2155551555,Berkeley Gardens 12  Brewery,,Allentown,PA,70267,USA,,Kyung,Devon
Vitachrome Inc.,6505555787,2678 Kingston Rd.,Suite 101,Lille,PA,59000,USA,,Martine,Frick
Lyon Souveniers,2155551555,27 rue du Colonel Pierre Avia,,Lille,CA,59000,France,EMEA,Martine,Da Cunha
Diecast Classics Inc.,+33 1 46 62 7554,7586 Pompton St.,Suite 101,Paris,PA,75508,USA,,Martine,Yu
Diecast Classics Inc.,2125551500,7586 Pompton St.,,Nantes,CA,44000,USA,EMEA,Janine,Yu
Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,PA,59000,USA,,Michael,Frick
Diecast Classics Inc.,5085552555,7586 Pompton St.,Suite 101,New Bedford,CA,WX1 6LT,UK,EMEA,Violeta,Yu
La Rochelle Gifts,2125551500,"67, rue des Cinquante Otages",,New Bedford,CA,50553,France,EMEA,Janine,Labrune
Mini Wheels Co.,6505555787,5557 North Pendale Street,,Allentown,CA,70267,USA,EMEA,Kyung,Murphy
Mini Wheels Co.,+33 1 46 62 7554,5557 North Pendale Street,Suite 101,Reims,CA,51100,USA,,Paul,Murphy
Reims Collectables,+33 1 46 62 7555,59 rue de l'Abbaye,Suite 101,Paris,CA,51100,USA,EMEA,Daniel,Da Cunha
"UK Collectables, Ltd.",6505555787,Berkeley Gardens 12  Brewery,,Nantes,NY,44000,France,,Janine,Devon
Daedalus Designs Imports,6505551386,"184, chausse de Tournai",,San Francisco,CA,,USA,,Julie,Rance
La Rochelle Gifts,2125551500,"67, rue des Cinquante Otages",,Nantes,CA,70267,France,,Kyung,Labrune
Daedalus Designs Imports,6505555787,"184, chausse de Tournai",,Allentown,CA,70267,USA,,Kyung,Rance
Mini Wheels Co.,6505555787,5557 North Pendale Street,Suite 101,NYC,CA,59000,USA,,Martine,Murphy
Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Suite 101,Reims,NY,51100,USA,,Daniel,Brown
La Rochelle Gifts,2125551500,"67, rue des Cinquante Otages",,Allentown,MA,10022,USA,,Michael,Labrune
"UK Collectables, Ltd.",6505555787,Berkeley Gardens 12  Brewery,,NYC,NY,10022,France,,Michael,Devon
Vitachrome Inc.,5085552555,2678 Kingston Rd.,Suite 101,Nantes,CA,44000,France,EMEA,Kyung,Frick
